tconst,averageRating,numVotes
tt10062000,7.7,7
tt10062002,8.9,9
tt10062004,9.0,9
tt10062150,8.4,69
tt10062158,7.8,8
tt10062192,6.7,6
tt10062236,7.8,8
tt10062286,5.8,20
tt10062388,8.0,8
tt10062514,7.6,8
tt10062560,8.1,8
tt10062604,7.9,8
tt10062650,5.9,14
tt10062704,6.6,5
tt10062752,9.3,11
tt10062754,9.7,6
tt10062756,9.2,16
tt10062912,6.4,14
tt10062926,6.3,10
tt10062928,5.7,7
tt10062930,6.3,6
tt10062932,7.0,6
tt10062942,8.3,24
tt10062950,8.0,10
tt10062962,7.4,9
tt10063042,6.5,6
tt10063054,6.1,8
tt10063228,7.4,28
tt10063274,7.8,8
tt10063680,7.7,45
tt10063682,7.4,41
tt10063688,7.8,38
tt10063692,7.9,38
tt10063696,7.7,37
tt10063700,7.9,44
tt10063886,7.6,17
tt10063990,7.5,57
tt10064038,7.5,17
tt10064220,8.9,13
tt10064270,6.1,27
tt10064314,6.7,7
tt10064336,6.3,63
tt10064354,8.1,16
tt10064394,6.4,9
tt10064444,7.0,12
tt10064448,8.3,12
tt10064484,9.0,76
tt10064542,6.8,176
tt10064544,7.7,31
tt10064562,8.0,5
tt10064682,8.6,8
tt10064700,8.6,5
tt10064714,6.1,10
tt10064754,8.9,8
tt10064808,6.3,6
tt10064814,8.8,89
tt10064822,8.3,85
tt10064824,7.4,5
tt10064834,8.7,98
tt10064840,8.3,86
tt10064844,8.3,81
tt10064850,8.4,84
tt10064856,8.5,89
tt10064862,8.7,103
tt10064866,9.0,139
tt10064868,8.2,76
tt10064872,8.2,71
tt10064876,8.7,80
tt10064904,8.4,8
tt10064964,9.7,3723
tt10064968,9.5,2781
tt10064990,8.5,103
tt10065008,3.0,41
tt10065016,8.9,9
tt10065070,8.0,8
tt10065092,8.8,5
tt10065094,6.4,7
tt10065302,7.6,9
tt10065326,8.2,5
tt10065344,3.7,6
tt10065356,6.9,7
tt10065398,7.2,5
tt10065432,4.2,5
tt10065484,6.3,23
tt10065506,9.2,6
tt10065520,9.6,5
tt10065530,6.8,11
tt10065544,3.9,25
tt10065726,5.2,81
tt10065750,5.5,16
tt10065784,8.6,10
tt10065924,6.8,6
tt10065930,5.5,63
tt10065976,6.6,31
tt10066026,7.2,32
tt10066050,7.7,16
tt10066162,6.2,144
tt10066402,7.9,7
tt10066406,8.7,9
tt10066410,7.2,5
tt10066492,6.2,121
tt10066522,6.8,10
tt10066526,7.6,82
tt10066546,9.8,5
tt10066558,5.9,8
tt10066688,7.4,9
tt10066756,7.2,132
tt10066760,9.2,56
tt10067354,8.9,34
tt10067520,8.3,6
tt10067526,8.6,5
tt10067534,8.4,5
tt10067536,8.4,5
tt10067548,8.8,5
tt10067550,8.6,5
tt10067552,7.9,7
tt10067710,7.4,965
tt10067716,6.6,20
tt10067734,8.8,775
tt10067742,9.2,559
tt10068158,7.0,34
tt10068544,6.6,18
tt10068756,8.8,90
tt10068994,5.6,109
tt10069042,7.4,11
tt10069066,6.2,20
tt10069070,6.6,20
tt10069102,6.6,5
tt10069104,7.2,5
tt10069124,6.8,6
tt10069126,7.5,8
tt10069128,7.0,7
tt10069130,6.7,9
tt10069132,7.0,7
tt10069134,7.3,7
tt10069138,7.1,7
tt10069140,6.7,7
tt10069148,8.6,17
tt10069362,9.2,6
tt10069372,9.0,5
tt10069378,8.1,24
tt10069380,7.5,22
tt10069438,8.0,49
tt10069444,7.8,39
tt10069450,8.3,40
tt10069476,8.0,93
tt10069494,9.4,7
tt10069588,6.9,14
tt10069810,6.4,7
tt10070106,7.5,13
tt10070730,5.3,23
